Feature,Correlation_Importance,Variance_Ratio,Mean_Difference,Correlation_Importance_Normalized,Variance_Ratio_Normalized,Mean_Difference_Normalized,Combined_Importance
V7,0.49123416156803534,8.700639880467577,0.553589997999548,0.32673515724468644,0.6656263743052934,0.9478572084917508,0.6467395800139103
V2,0.49187802825783977,12.223720212450978,0.38042983001342034,0.3281137974980512,1.0,0.5420136098534989,0.6233758024505167
V3,0.6820954647464762,2.539321149217827,0.5758376189232972,0.7354052741152682,0.08085898636757338,1.0,0.6054214201609472
V12,0.7685793328121598,1.6873618957215326,0.5249272757054506,0.9205835783668092,0.0,0.8806790433404139,0.6004208739024076
V4,0.7359808565710069,4.39305501644582,0.3849902831110895,0.850784080650817,0.2567958529303465,0.5527021574456177,0.5534273636755938
V14,0.8056692033482026,2.1310514086341534,0.37106703024655263,1.0,0.04211032878486473,0.5200695773724296,0.5207266353857648
V11,0.7242781571398208,2.205726867915838,0.42186045947110296,0.8257263897276192,0.04919773574625445,0.6391165172282534,0.5046802142340424
V10,0.6736650416630307,5.3886194054386225,0.3385274520580065,0.7173541452095881,0.35128432409519506,0.4438050434221721,0.5041478375756517
V9,0.5855216713180174,4.770514689805683,0.44088699170554124,0.528622532984421,0.29262034389897074,0.6837098922603783,0.5016509230479232
V1,0.5057610150941801,2.5990955796739774,0.5056916853588891,0.35783989576122616,0.08653214484029174,0.8355956890160801,0.42665590987253266
V5,0.33863896233138,11.149849784093261,0.28834097864930774,0.0,0.8980795455055242,0.3261806543491552,0.40808673328489314
V6,0.43508823958895226,5.817106114569286,0.2893578825235983,0.2065161284793507,0.3919517630954728,0.3285640196034804,0.3090106370594346
V16,0.5735112908795604,3.21910180101468,0.22567608363535208,0.5029060388826518,0.14537659590231264,0.1793100039188007,0.27586421290125507
V17,0.47637650032081896,5.11139737813945,0.17752342058923948,0.29492209688510856,0.32497333324183686,0.06645235148100037,0.2287825938693153
V18,0.41009093440809585,5.083453172791816,0.1491703792104105,0.1529921743850033,0.32232116400958283,0.0,0.15843777946486204
